Part,X,Y,Rotation,Side,Type,XSize,YSize,Value,Footprint
U21,1082.6771653543308,3444.8818897637793,270,top,SMD,251.96850393700788,165.3542125984252,,WS2812B
C10,1732.283464566929,1220.4724409448818,90,top,SMD,93.33503937007875,34.27992125984252,0.1uF,
U2,1082.6771653543308,492.12598425196853,90,top,SMD,251.96850393700788,165.3542125984252,,WS2812B
C21,1220.4724409448818,3503.9370078740158,270,top,SMD,93.33503937007875,34.27992125984252,0.1uF,
U27,1870.0787401574803,4232.283464566929,270,top,SMD,251.96850393700788,165.3542125984252,,WS2812B
C7,1811.023622047244,944.8818897637796,270,top,SMD,93.33503937007875,34.27992125984252,0.1uF,
U13,1279.5275590551182,1673.2283464566929,270,top,SMD,251.96850393700788,165.3542125984252,,WS2812B
J1,1476.3779527559054,98.4251968503937,90,top,PTH,95.66929133858268,431.8897637795276,,
U30,688.9763779527559,4232.283464566929,270,top,SMD,251.96850393700788,165.3542125984252,,WS2812B
C9,1023.6220472440945,944.8818897637796,270,top,SMD,93.33503937007875,34.27992125984252,0.1uF,
U11,1476.3779527559054,1279.5275590551182,90,top,SMD,251.96850393700788,165.3542125984252,,WS2812B
C8,1417.3228346456692,944.8818897637796,270,top,SMD,93.33503937007875,34.27992125984252,0.1uF,
U12,1082.6771653543308,1279.5275590551182,90,top,SMD,251.96850393700788,165.3542125984252,,WS2812B
C27,2007.8740157480315,4291.3385826771655,270,top,SMD,93.33503937007875,34.27992125984252,0.1uF,
U5,2263.779527559055,492.12598425196853,90,top,SMD,251.96850393700788,165.3542125984252,,WS2812B
C28,1614.1732283464567,4291.3385826771655,270,top,SMD,93.33503937007875,34.27992125984252,0.1uF,
C11,1338.5826771653544,1220.4724409448818,90,top,SMD,93.33503937007875,34.27992125984252,0.1uF,
C16,1614.1732283464567,2716.535433070866,270,top,SMD,93.33503937007875,34.27992125984252,0.1uF,
U8,1279.5275590551182,885.8267716535433,270,top,SMD,251.96850393700788,165.3542125984252,,WS2812B
U26,2263.779527559055,4232.283464566929,270,top,SMD,251.96850393700788,165.3542125984252,,WS2812B
C26,2401.5748031496064,4291.3385826771655,270,top,SMD,93.33503937007875,34.27992125984252,0.1uF,
C25,748.0314960629921,3779.527559055118,90,top,SMD,93.33503937007875,34.27992125984252,0.1uF,
M3,196.8503937007874,4527.55905511811,0,top,PTH,216.53543307086613,216.53543307086613,,
C20,1614.1732283464567,3503.9370078740158,270,top,SMD,93.33503937007875,34.27992125984252,0.1uF,
C30,826.7716535433071,4291.3385826771655,270,top,SMD,93.33503937007875,34.27992125984252,0.1uF,
M2,2755.9055118110236,196.8503937007874,0,top,PTH,216.53543307086613,216.53543307086613,,
U29,1082.6771653543308,4232.283464566929,270,top,SMD,251.96850393700788,165.3542125984252,,WS2812B
C22,1929.1338582677165,3779.527559055118,90,top,SMD,93.33503937007875,34.27992125984252,0.1uF,
M4,2755.9055118110236,4527.55905511811,0,top,PTH,216.53543307086613,216.53543307086613,,
C5,2125.984251968504,433.07086614173227,90,top,SMD,93.33503937007875,34.27992125984252,0.1uF,
C4,1732.283464566929,433.07086614173227,90,top,SMD,93.33503937007875,34.27992125984252,0.1uF,
U28,1476.3779527559054,4232.283464566929,270,top,SMD,251.96850393700788,165.3542125984252,,WS2812B
C15,1338.5826771653544,2007.8740157480315,90,top,SMD,93.33503937007875,34.27992125984252,0.1uF,
U19,1870.0787401574803,3444.8818897637793,270,top,SMD,251.96850393700788,165.3542125984252,,WS2812B
C19,2007.8740157480315,3503.9370078740158,270,top,SMD,93.33503937007875,34.27992125984252,0.1uF,
U25,2066.9291338582675,3838.582677165354,90,top,SMD,251.96850393700788,165.3542125984252,,WS2812B
U1,688.9763779527559,492.12598425196853,90,top,SMD,251.96850393700788,165.3542125984252,,WS2812B
U7,1673.2283464566929,885.8267716535433,270,top,SMD,251.96850393700788,165.3542125984252,,WS2812B
U23,1279.5275590551182,3838.582677165354,90,top,SMD,251.96850393700788,165.3542125984252,,WS2812B
C23,1535.4330708661416,3779.527559055118,90,top,SMD,93.33503937007875,34.27992125984252,0.1uF,
C1,551.1811023622047,433.07086614173227,90,top,SMD,93.33503937007875,34.27992125984252,0.1uF,
C24,1141.732283464567,3779.527559055118,90,top,SMD,93.33503937007875,34.27992125984252,0.1uF,
U6,2066.9291338582675,885.8267716535433,270,top,SMD,251.96850393700788,165.3542125984252,,WS2812B
U22,885.8267716535433,3838.582677165354,90,top,SMD,251.96850393700788,165.3542125984252,,WS2812B
U10,1870.0787401574803,1279.5275590551182,90,top,SMD,251.96850393700788,165.3542125984252,,WS2812B
M1,196.8503937007874,196.8503937007874,0,top,PTH,216.53543307086613,216.53543307086613,,
U18,1673.2283464566929,3051.181102362205,90,top,SMD,251.96850393700788,165.3542125984252,,WS2812B
U17,1279.5275590551182,3051.181102362205,90,top,SMD,251.96850393700788,165.3542125984252,,WS2812B
C29,1220.4724409448818,4291.3385826771655,270,top,SMD,93.33503937007875,34.27992125984252,0.1uF,
U3,1476.3779527559054,492.12598425196853,90,top,SMD,251.96850393700788,165.3542125984252,,WS2812B
C12,944.8818897637796,1220.4724409448818,90,top,SMD,93.33503937007875,34.27992125984252,0.1uF,
U14,1673.2283464566929,1673.2283464566929,270,top,SMD,251.96850393700788,165.3542125984252,,WS2812B
U20,1476.3779527559054,3444.8818897637793,270,top,SMD,251.96850393700788,165.3542125984252,,WS2812B
C14,1811.023622047244,1732.283464566929,270,top,SMD,93.33503937007875,34.27992125984252,0.1uF,
R1,866.1417322834645,177.16535433070865,180,top,SMD,93.33503937007875,34.27992125984252,390,
C13,1417.3228346456692,1732.283464566929,270,top,SMD,93.33503937007875,34.27992125984252,0.1uF,
C18,1141.732283464567,2992.1259842519685,90,top,SMD,93.33503937007875,34.27992125984252,0.1uF,
U16,1476.3779527559054,2657.48031496063,270,top,SMD,251.96850393700788,165.3542125984252,,WS2812B
C17,1535.4330708661416,2992.1259842519685,90,top,SMD,93.33503937007875,34.27992125984252,0.1uF,
C3,1338.5826771653544,433.07086614173227,90,top,SMD,93.33503937007875,34.27992125984252,0.1uF,
C2,944.8818897637796,433.07086614173227,90,top,SMD,93.33503937007875,34.27992125984252,0.1uF,
U15,1476.3779527559054,2066.9291338582675,90,top,SMD,251.96850393700788,165.3542125984252,,WS2812B
U24,1673.2283464566929,3838.582677165354,90,top,SMD,251.96850393700788,165.3542125984252,,WS2812B
C6,2204.7244094488187,944.8818897637796,270,top,SMD,93.33503937007875,34.27992125984252,0.1uF,
U9,885.8267716535433,885.8267716535433,270,top,SMD,251.96850393700788,165.3542125984252,,WS2812B
U4,1870.0787401574803,492.12598425196853,90,top,SMD,251.96850393700788,165.3542125984252,,WS2812B
